city,state,2020census,latitude,longitude,timezone,date,condition,description,moon_phase,pressure,pct_humidity,dew_point,uv_index,pct_clouds,rainfall,snowfall,temperature.day,temperature.min,temperature.max,temperature.night,temperature.eve,temperature.morn,wind.speed,wind.direction_deg,wind.gust
New York,New York,8804190,40.7127281,-74.0060152,America/New_York,2021-10-19,Clear,clear sky,0.47,1016,38,35.2,3.32,0,0.0,0.0,61.16,50.32,67.53,61.65,63.82,50.45,16.35,291,31.52
New York,New York,8804190,40.7127281,-74.0060152,America/New_York,2021-10-20,Clouds,scattered clouds,0.5,1016,45,48.34,3.49,27,0.0,0.0,71.13,58.55,75.0,65.25,71.89,58.68,12.68,289,31.52
New York,New York,8804190,40.7127281,-74.0060152,America/New_York,2021-10-21,Clouds,broken clouds,0.53,1016,44,46.96,3.32,84,0.0,0.0,69.96,60.12,74.16,67.21,71.71,60.48,13.0,208,33.58
New York,New York,8804190,40.7127281,-74.0060152,America/New_York,2021-10-22,Clouds,scattered clouds,0.56,1014,50,47.93,2.44,27,0.0,0.0,67.17,59.32,68.2,59.32,65.68,62.19,14.05,220,34.05
New York,New York,8804190,40.7127281,-74.0060152,America/New_York,2021-10-23,Rain,light rain,0.59,1016,44,37.71,1.68,51,0.37,0.0,59.79,53.04,61.3,53.04,59.22,57.63,11.16,315,16.49
New York,New York,8804190,40.7127281,-74.0060152,America/New_York,2021-10-24,Clear,clear sky,0.62,1019,46,35.49,2.0,9,0.0,0.0,55.85,48.72,60.4,48.72,56.82,51.24,15.35,330,24.52
New York,New York,8804190,40.7127281,-74.0060152,America/New_York,2021-10-25,Clear,clear sky,0.65,1028,40,26.28,2.0,5,0.0,0.0,49.68,43.54,56.89,55.42,56.89,44.47,13.73,344,21.5
New York,New York,8804190,40.7127281,-74.0060152,America/New_York,2021-10-26,Rain,moderate rain,0.68,1022,84,48.34,2.0,100,8.32,0.0,53.19,49.84,57.88,57.88,56.26,49.84,9.28,122,16.17
Los Angeles,California,3898747,34.0536909,-118.242766,America/Los_Angeles,2021-10-19,Clear,clear sky,0.47,1017,44,42.01,4.88,0,0.0,0.0,65.73,57.07,68.4,60.96,65.59,57.18,8.66,236,7.05
Los Angeles,California,3898747,34.0536909,-118.242766,America/Los_Angeles,2021-10-20,Clouds,few clouds,0.5,1019,40,43.63,4.92,12,0.0,0.0,69.94,59.94,73.15,64.89,66.97,60.12,9.8,242,8.84
Los Angeles,California,3898747,34.0536909,-118.242766,America/Los_Angeles,2021-10-21,Clouds,overcast clouds,0.54,1019,29,39.13,4.48,100,0.0,0.0,74.68,63.66,77.61,67.17,70.83,63.72,7.94,240,6.17
Los Angeles,California,3898747,34.0536909,-118.242766,America/Los_Angeles,2021-10-22,Clouds,broken clouds,0.57,1016,44,45.64,4.89,51,0.0,0.0,69.91,62.96,74.68,63.61,70.66,63.57,7.96,223,8.32
Los Angeles,California,3898747,34.0536909,-118.242766,America/Los_Angeles,2021-10-23,Clouds,overcast clouds,0.6,1012,58,48.38,4.7,100,0.0,0.0,64.56,60.82,67.87,61.27,66.67,62.53,7.83,226,8.12
Los Angeles,California,3898747,34.0536909,-118.242766,America/Los_Angeles,2021-10-24,Rain,light rain,0.63,1012,62,49.21,5.0,62,2.61,0.0,63.54,59.45,67.57,62.96,66.15,59.45,10.98,162,16.35
Los Angeles,California,3898747,34.0536909,-118.242766,America/Los_Angeles,2021-10-25,Rain,moderate rain,0.66,1009,80,52.99,5.0,100,20.04,0.0,60.3,59.27,64.4,59.27,63.45,63.34,15.79,174,25.19
Los Angeles,California,3898747,34.0536909,-118.242766,America/Los_Angeles,2021-10-26,Clear,clear sky,0.69,1019,51,44.55,5.0,0,0.0,0.0,63.73,57.87,69.39,62.8,68.02,57.87,8.05,219,7.18
Chicago,Illinois,2746388,41.8755616,-87.6244212,America/Chicago,2021-10-19,Clouds,broken clouds,0.47,1019,41,42.67,3.2,83,0.0,0.0,67.6,57.96,69.96,61.74,63.75,58.53,11.32,212,24.56
Chicago,Illinois,2746388,41.8755616,-87.6244212,America/Chicago,2021-10-20,Rain,light rain,0.5,1016,44,44.58,3.17,26,1.31,0.0,67.91,58.59,71.01,64.71,67.77,59.13,13.65,198,29.8
Chicago,Illinois,2746388,41.8755616,-87.6244212,America/Chicago,2021-10-21,Clouds,overcast clouds,0.53,1012,70,46.02,1.76,98,0.0,0.0,55.62,53.6,64.83,53.6,55.11,56.21,15.64,249,29.8
Chicago,Illinois,2746388,41.8755616,-87.6244212,America/Chicago,2021-10-22,Clouds,overcast clouds,0.56,1018,44,33.84,2.5,100,0.0,0.0,55.53,50.04,57.34,54.5,55.72,50.25,7.47,343,8.46
Chicago,Illinois,2746388,41.8755616,-87.6244212,America/Chicago,2021-10-23,Clear,clear sky,0.59,1018,37,27.46,2.86,5,0.0,0.0,54.88,49.03,54.88,51.53,52.07,49.03,10.6,29,12.19
Chicago,Illinois,2746388,41.8755616,-87.6244212,America/Chicago,2021-10-24,Rain,light rain,0.62,1020,53,36.05,3.0,100,0.77,0.0,53.11,49.33,53.85,53.55,53.85,49.33,22.1,117,36.53
Chicago,Illinois,2746388,41.8755616,-87.6244212,America/Chicago,2021-10-25,Rain,moderate rain,0.65,1009,90,63.27,3.0,100,11.63,0.0,66.27,52.41,72.07,61.99,65.37,56.7,22.01,130,42.59
Chicago,Illinois,2746388,41.8755616,-87.6244212,America/Chicago,2021-10-26,Clouds,broken clouds,0.68,1008,68,64.74,3.0,68,0.0,0.0,76.42,60.49,78.57,73.15,75.09,61.27,13.85,204,27.78
Houston,Texas,2304580,29.7589382,-95.3676974,America/Chicago,2021-10-19,Clouds,scattered clouds,0.47,1018,56,62.56,5.59,50,0.0,0.0,79.5,63.34,81.55,73.24,74.23,63.34,9.35,137,17.31
Houston,Texas,2304580,29.7589382,-95.3676974,America/Chicago,2021-10-20,Clouds,overcast clouds,0.5,1018,61,68.56,5.65,100,0.0,0.0,83.08,69.73,84.9,74.37,78.75,69.73,6.22,124,16.87
Houston,Texas,2304580,29.7589382,-95.3676974,America/Chicago,2021-10-21,Clouds,overcast clouds,0.53,1019,55,67.14,5.8,98,0.0,0.0,85.17,71.13,87.84,76.75,81.27,71.13,8.14,143,13.49
Houston,Texas,2304580,29.7589382,-95.3676974,America/Chicago,2021-10-22,Rain,light rain,0.56,1016,51,65.95,5.67,17,0.42,0.0,86.4,72.66,86.4,76.12,79.59,72.66,8.99,145,14.81
Houston,Texas,2304580,29.7589382,-95.3676974,America/Chicago,2021-10-23,Rain,light rain,0.59,1013,53,66.99,5.33,12,0.68,0.0,85.91,72.77,85.91,76.42,78.76,72.77,10.65,141,18.68
Houston,Texas,2304580,29.7589382,-95.3676974,America/Chicago,2021-10-24,Rain,light rain,0.62,1011,60,69.8,6.0,66,2.82,0.0,85.42,73.96,85.42,77.23,79.03,73.96,11.43,164,19.91
