#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE,READING_STATION_ID
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft,45023
2021,09,11,15,40,290,5.0,6.0,0.5,5,MM,252,1006.9,18.4,18.5,14.9,MM,MM,MM,45023
2021,09,11,15,35,290,5.0,6.0,0.5,5,MM,252,1006.9,18.4,18.5,15.1,MM,MM,MM,45023
2021,09,11,15,30,320,5.0,5.0,0.5,4,MM,255,1006.8,18.5,18.5,15.0,MM,MM,MM,45023
2021,09,11,15,25,350,4.0,5.0,0.5,4,MM,255,1006.8,18.6,18.5,14.9,MM,MM,MM,45023
2021,09,11,15,20,330,4.0,5.0,0.5,4,MM,255,1006.8,18.5,18.5,15.0,MM,MM,MM,45023
2021,09,11,15,15,300,4.0,5.0,0.5,4,MM,255,1006.6,18.4,18.5,15.3,MM,MM,MM,45023
2021,09,11,15,10,310,4.0,4.0,0.5,5,MM,253,1006.5,18.4,18.5,15.1,MM,MM,MM,45023
2021,09,11,15,05,290,4.0,5.0,0.5,5,MM,253,1006.5,18.5,18.5,15.2,MM,MM,MM,45023
2021,09,11,15,00,290,4.0,5.0,0.5,5,MM,253,1006.5,18.5,18.5,15.2,MM,+0.7,MM,45023
2021,09,11,14,55,300,5.0,5.0,0.5,5,MM,253,1006.5,18.5,18.5,15.2,MM,MM,MM,45023
2021,09,11,14,50,320,4.0,4.0,0.5,4,MM,253,1006.5,18.6,18.5,15.3,MM,MM,MM,45023
2021,09,11,14,45,310,3.0,4.0,0.5,4,MM,253,1006.5,18.6,18.5,15.4,MM,MM,MM,45023
2021,09,11,14,40,310,1.0,2.0,0.5,4,MM,253,1006.2,18.6,18.5,15.0,MM,MM,MM,45023
2021,09,11,14,35,280,2.0,2.0,0.5,4,MM,253,1006.1,18.6,18.5,15.1,MM,MM,MM,45023
2021,09,11,14,30,300,2.0,2.0,0.5,5,MM,255,1006.1,18.5,18.5,15.2,MM,MM,MM,45023
2021,09,11,14,25,260,3.0,3.0,0.5,5,MM,255,1006.2,18.4,18.5,15.4,MM,MM,MM,45023
2021,09,11,14,20,280,3.0,3.0,0.5,5,MM,255,1006.1,18.5,18.5,15.3,MM,MM,MM,45023
2021,09,11,14,15,270,3.0,4.0,0.5,5,MM,255,1006.0,18.5,18.5,15.4,MM,MM,MM,45023
2021,09,11,14,10,270,4.0,4.0,0.6,5,MM,262,1006.0,18.4,18.5,15.2,MM,MM,MM,45023
2021,09,11,14,05,250,4.0,5.0,0.6,5,MM,262,1006.0,18.4,18.5,15.3,MM,MM,MM,45023
2021,09,11,14,00,270,4.0,5.0,0.6,5,MM,262,1006.1,18.5,18.5,15.5,MM,+0.9,MM,45023
