STATION_ID,OWNER,TTYPE,HULL,NAME,PAYLOAD,LOCATION,TIMEZONE,FORECAST,NOTE,LATLNG
34002,OO,Moored Buoy,,OOI Southern Ocean Buoy,,"55.000 S 90.000 W (55&#176;0'0"" S 90&#176;0'0"" W)",C, ,,"(-55.0, -90.0)"
41024,CR,Moored Buoy,,"Sunset Nearshore, NC (SUN2)",,"33.837 N 78.477 W (33&#176;50'14"" N 78&#176;28'36"" W)",E,FZUS52.KILM ,"Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. To learn more about right whales and rules protecting them, go to: <a href=""http://www.nmfs.noaa.gov/pr/shipstrike"">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br /> <br /> Wave data from this buoy (SSBN7) can be viewed <a title=""SSBN&"" href=""http://www.ndbc.noaa.gov/station_page.php?station=ssbn7"">here</a>.","(33.837, -78.477)"
41029,CR,Moored Buoy,,"Capers Nearshore, SC (CAP2)",,"32.803 N 79.624 W (32&#176;48'12"" N 79&#176;37'26"" W)",E,FZUS52.KCHS ,"Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href=""http://www.nmfs.noaa.gov/pr/shipstrike"">http://www.nmfs.noaa.gov/pr/shipstrike</a>","(32.803, -79.624)"
41033,CR,Moored Buoy,,"Fripp Nearshore, SC (FRP2)",,"32.279 N 80.406 W (32&#176;16'44"" N 80&#176;24'23"" W)",E,FZUS52.KCHS ,"Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href=""http://www.nmfs.noaa.gov/pr/shipstrike"">http://www.nmfs.noaa.gov/pr/shipstrike</a>","(32.279, -80.406)"
41037,CR,Moored Buoy,,"Wrightsville Beach Offshore, NC (ILM3)",,"33.988 N 77.362 W (33&#176;59'16"" N 77&#176;21'42"" W)",E,FZUS52.KILM FZNT22.KWBC,"Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href=""http://www.nmfs.noaa.gov/pr/shipstrike"">http://www.nmfs.noaa.gov/pr/shipstrike</a>","(33.988, -77.362)"
41038,CR,Moored Buoy,,"Wrightsville Beach Nearshore, NC (ILM2)",,"34.141 N 77.715 W (34&#176;8'27"" N 77&#176;42'53"" W)",E,FZUS52.KILM ,"Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. To learn more about right whales and rules protecting them, go to: <a href=""http://www.nmfs.noaa.gov/pr/shipstrike"">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br> </br>Data from a nearby waverider buoy (41110) can be viewed <a title=""41110"" href=""http://www.ndbc.noaa.gov/station_page.php?station=41110"">here</a>.","(34.141, -77.715)"
41051,CI,Moored Buoy,,"South of St. Thomas, VI",,"18.257 N 65.004 W (18&#176;15'26"" N 65&#176;0'14"" W)",?,FZCA52.TJSJ ,,"(18.257, -65.004)"
41052,CI,Moored Buoy,,"South of St. John, VI",,"18.249 N 64.763 W (18&#176;14'56"" N 64&#176;45'48"" W)",N,FZCA52.TJSJ ,,"(18.249, -64.763)"
41053,CI,Moored Buoy,,"San Juan, PR",,"18.474 N 66.099 W (18&#176;28'27"" N 66&#176;5'58"" W)",N,FZCA52.TJSJ ,,"(18.474, -66.099)"
41056,CI,Moored Buoy,,"Vieques Island, PR",,"18.261 N 65.464 W (18&#176;15'40"" N 65&#176;27'51"" W)",N,FZCA52.TJSJ ,,"(18.261, -65.464)"
41057,IC,Moored Buoy,,"Puerto Plata, DO",,"19.833 N 70.731 W (19&#176;50'0"" N 70&#176;43'52"" W)",N, ,,"(19.833, -70.731)"
41058,CI,Moored Buoy,,"North of St. Thomas, VI",,"18.476 N 65.157 W (18&#176;28'34"" N 65&#176;9'25"" W)",?,FZCA52.TJSJ ,,"(18.476, -65.157)"
41064,CR,Moored Buoy,,"Onslow Bay Outer, NC (LEJ3)",,"34.207 N 76.949 W (34&#176;12'26"" N 76&#176;56'56"" W)",E,FZUS52.KMHX FZNT22.KWBC,"Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href=""http://www.nmfs.noaa.gov/pr/shipstrike/"">http://www.nmfs.noaa.gov/pr/shipstrike/</a><br /><br /> Data from a nearby waverider buoy (41159) can be viewed <a title=""41159"" href=""http://www.ndbc.noaa.gov/station_page.php?station=41159"">here</a>.","(34.207, -76.949)"
