#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 09 11 15 15 220  4.0  5.0    MM    MM    MM  MM     MM  21.3    MM  12.3   MM   MM    MM
2021 09 11 14 30 230  3.0  5.0    MM    MM    MM  MM     MM  20.9    MM  12.5   MM   MM    MM
2021 09 11 14 00 230  4.0  5.0    MM    MM    MM  MM     MM  20.2    MM  12.5   MM   MM    MM
2021 09 11 13 45 220  3.0  4.0    MM    MM    MM  MM     MM  19.8    MM  12.5   MM   MM    MM
2021 09 11 13 00 290  2.0  3.0    MM    MM    MM  MM     MM  18.8    MM  12.3   MM   MM    MM
2021 09 11 12 45 310  2.0  3.0    MM    MM    MM  MM     MM  18.6    MM  12.4   MM   MM    MM
2021 09 11 12 15 280  2.0  3.0    MM    MM    MM  MM     MM  18.5    MM  11.4   MM   MM    MM
2021 09 11 11 45 270  2.0  3.0    MM    MM    MM  MM     MM  18.1    MM  11.4   MM   MM    MM
2021 09 11 11 15 270  3.0  4.0    MM    MM    MM  MM     MM  17.9    MM  11.0   MM   MM    MM
2021 09 11 10 45 280  3.0  4.0    MM    MM    MM  MM     MM  17.8    MM  11.9   MM   MM    MM
2021 09 11 10 15 270  3.0  4.0    MM    MM    MM  MM     MM  17.9    MM  11.9   MM   MM    MM
2021 09 11 09 45 260  4.0  5.0    MM    MM    MM  MM     MM  17.6    MM  11.7   MM   MM    MM
2021 09 11 09 15 270  4.0  5.0    MM    MM    MM  MM     MM  17.7    MM  11.9   MM   MM    MM
2021 09 11 08 45 280  4.0  5.0    MM    MM    MM  MM     MM  18.0    MM  11.4   MM   MM    MM
2021 09 11 08 15 270  4.0  6.0    MM    MM    MM  MM     MM  18.4    MM  11.6   MM   MM    MM
2021 09 11 07 45 270  4.0  6.0    MM    MM    MM  MM     MM  18.0    MM  11.6   MM   MM    MM
2021 09 11 07 15 290  4.0  5.0    MM    MM    MM  MM     MM  18.2    MM  11.4   MM   MM    MM
2021 09 11 06 45 280  5.0  7.0    MM    MM    MM  MM     MM  18.4    MM  11.5   MM   MM    MM
2021 09 11 06 15 290  5.0  6.0    MM    MM    MM  MM     MM  18.6    MM  12.2   MM   MM    MM
2021 09 11 05 45 290  4.0  5.0    MM    MM    MM  MM     MM  18.8    MM  12.8   MM   MM    MM
2021 09 11 05 15 300  3.0  4.0    MM    MM    MM  MM     MM  19.3    MM  12.0   MM   MM    MM
2021 09 11 04 45 290  4.0  5.0    MM    MM    MM  MM     MM  19.3    MM  11.4   MM   MM    MM
2021 09 11 04 15 290  5.0  7.0    MM    MM    MM  MM     MM  19.5    MM  10.8   MM   MM    MM
2021 09 11 03 45 310  5.0  6.0    MM    MM    MM  MM     MM  19.9    MM  10.7   MM   MM    MM
2021 09 11 03 15 310  5.0  6.0    MM    MM    MM  MM     MM  19.9    MM  10.5   MM   MM    MM
2021 09 11 02 45 320  5.0  7.0    MM    MM    MM  MM     MM  20.3    MM  10.5   MM   MM    MM
2021 09 11 02 00 300  5.0  6.0    MM    MM    MM  MM     MM  20.5    MM  10.5   MM   MM    MM
2021 09 11 01 45 310  6.0  7.0    MM    MM    MM  MM     MM  20.7    MM  10.6   MM   MM    MM
2021 09 11 01 15 310  6.0  7.0    MM    MM    MM  MM     MM  21.1    MM  10.6   MM   MM    MM
2021 09 11 00 45 320  6.0  8.0    MM    MM    MM  MM     MM  21.4    MM  10.7   MM   MM    MM
2021 09 11 00 15 310  6.0  7.0    MM    MM    MM  MM     MM  21.8    MM  10.4   MM   MM    MM
2021 09 10 23 45 320  7.0 10.0    MM    MM    MM  MM     MM  22.1    MM   9.7   MM   MM    MM
2021 09 10 23 00 320  8.0 10.0    MM    MM    MM  MM     MM  22.6    MM   9.9   MM   MM    MM
2021 09 10 22 30 310  8.0 11.0    MM    MM    MM  MM     MM  22.9    MM  10.2   MM   MM    MM
2021 09 10 22 15 320  7.0 11.0    MM    MM    MM  MM     MM  23.1    MM  10.3   MM   MM    MM
2021 09 10 21 45 310  8.0 11.0    MM    MM    MM  MM     MM  23.2    MM  10.0   MM   MM    MM
2021 09 10 21 00 310  8.0 11.0    MM    MM    MM  MM     MM  23.2    MM  10.1   MM   MM    MM
2021 09 10 20 30 320  6.0 10.0    MM    MM    MM  MM     MM  23.0    MM  10.2   MM   MM    MM
2021 09 10 20 15 310  8.0 12.0    MM    MM    MM  MM     MM  22.9    MM  10.2   MM   MM    MM
2021 09 10 19 30 320  7.0 11.0    MM    MM    MM  MM     MM  22.5    MM  10.8   MM   MM    MM
2021 09 10 19 15 310  7.0 11.0    MM    MM    MM  MM     MM  22.4    MM  11.1   MM   MM    MM
2021 09 10 18 30 310  8.0 13.0    MM    MM    MM  MM     MM  22.0    MM  11.0   MM   MM    MM
2021 09 10 18 00 310  8.0 11.0    MM    MM    MM  MM     MM  21.9    MM  11.3   MM   MM    MM
2021 09 10 17 45 300  8.0 12.0    MM    MM    MM  MM     MM  21.7    MM  11.1   MM   MM    MM
2021 09 10 17 00 320  8.0 12.0    MM    MM    MM  MM     MM  21.2    MM  11.2   MM   MM    MM
2021 09 10 16 45 320  9.0 13.0    MM    MM    MM  MM     MM  21.1    MM  11.8   MM   MM    MM
2021 09 10 16 00 320  7.0 11.0    MM    MM    MM  MM     MM  20.8    MM  11.9   MM   MM    MM
2021 09 10 15 30 310  8.0 10.0    MM    MM    MM  MM     MM  20.6    MM  12.6   MM   MM    MM
2021 09 10 15 15 320  7.0 10.0    MM    MM    MM  MM     MM  20.5    MM  12.8   MM   MM    MM
2021 09 10 14 45 330  8.0 10.0    MM    MM    MM  MM     MM  20.6    MM  13.1   MM   MM    MM
2021 09 10 14 00 320  8.0 11.0    MM    MM    MM  MM     MM  20.4    MM  13.6   MM   MM    MM
2021 09 10 13 45 320  6.0  9.0    MM    MM    MM  MM     MM  20.4    MM  13.5   MM   MM    MM
2021 09 10 13 00 300  6.0  7.0    MM    MM    MM  MM     MM  19.9    MM  13.9   MM   MM    MM
2021 09 10 12 45 300  6.0  9.0    MM    MM    MM  MM     MM  19.6    MM  14.0   MM   MM    MM
2021 09 10 12 15 310  6.0  8.0    MM    MM    MM  MM     MM  19.2    MM  14.4   MM   MM    MM
2021 09 10 11 45 310  6.0  8.0    MM    MM    MM  MM     MM  19.1    MM  14.6   MM   MM    MM
2021 09 10 11 15 310  6.0  7.0    MM    MM    MM  MM     MM  19.0    MM  14.9   MM   MM    MM
2021 09 10 10 45 310  6.0  8.0    MM    MM    MM  MM     MM  18.9    MM  14.8   MM   MM    MM
2021 09 10 10 15 310  6.0  8.0    MM    MM    MM  MM     MM  19.0    MM  15.1   MM   MM    MM
2021 09 10 09 45 320  5.0  8.0    MM    MM    MM  MM     MM  19.3    MM  15.7   MM   MM    MM
2021 09 10 09 15 310  6.0  8.0    MM    MM    MM  MM     MM  19.5    MM  16.1   MM   MM    MM
2021 09 10 08 45 320  6.0  8.0    MM    MM    MM  MM     MM  19.7    MM  16.6   MM   MM    MM
2021 09 10 08 15 310  6.0  8.0    MM    MM    MM  MM     MM  19.9    MM  17.2   MM   MM    MM
2021 09 10 07 45 310  5.0  7.0    MM    MM    MM  MM     MM  20.2    MM  17.4   MM   MM    MM
2021 09 10 07 15 300  4.0  6.0    MM    MM    MM  MM     MM  20.4    MM  17.8   MM   MM    MM
2021 09 10 06 45 310  4.0  6.0    MM    MM    MM  MM     MM  20.6    MM  17.7   MM   MM    MM
2021 09 10 06 15 320  4.0  5.0    MM    MM    MM  MM     MM  20.7    MM  17.8   MM   MM    MM
2021 09 10 05 45 300  4.0  5.0    MM    MM    MM  MM     MM  20.9    MM  18.5   MM   MM    MM
2021 09 10 05 15 290  4.0  5.0    MM    MM    MM  MM     MM  21.0    MM  18.3   MM   MM    MM
2021 09 10 04 45 280  4.0  5.0    MM    MM    MM  MM     MM  21.0    MM  19.0   MM   MM    MM
2021 09 10 04 15 300  4.0  5.0    MM    MM    MM  MM     MM  21.4    MM  18.9   MM   MM    MM
2021 09 10 03 45 310  4.0  5.0    MM    MM    MM  MM     MM  21.4    MM  18.8   MM   MM    MM
2021 09 10 03 15 310  4.0  5.0    MM    MM    MM  MM     MM  21.4    MM  19.4   MM   MM    MM
2021 09 10 02 45 310  4.0  5.0    MM    MM    MM  MM     MM  21.4    MM  18.7   MM   MM    MM
2021 09 10 02 15 320  4.0  5.0    MM    MM    MM  MM     MM  21.6    MM  18.6   MM   MM    MM
2021 09 10 01 45 310  5.0  6.0    MM    MM    MM  MM     MM  21.7    MM  18.7   MM   MM    MM
2021 09 10 01 15 310  5.0  6.0    MM    MM    MM  MM     MM  21.6    MM  19.2   MM   MM    MM
2021 09 10 00 45 320  4.0  5.0    MM    MM    MM  MM     MM  21.7    MM  19.5   MM   MM    MM
2021 09 10 00 15 310  4.0  5.0    MM    MM    MM  MM     MM  21.8    MM  19.4   MM   MM    MM
2021 09 09 23 45 310  4.0  5.0    MM    MM    MM  MM     MM  22.0    MM  19.3   MM   MM    MM
2021 09 09 23 15 320  3.0  4.0    MM    MM    MM  MM     MM  22.0    MM  19.1   MM   MM    MM
2021 09 09 22 45 270  2.0  3.0    MM    MM    MM  MM     MM  21.8    MM  19.7   MM   MM    MM
2021 09 09 21 15 190  2.0  3.0    MM    MM    MM  MM     MM  21.5    MM  19.6   MM   MM    MM
2021 09 09 21 00 190  2.0  3.0    MM    MM    MM  MM     MM  21.6    MM  19.5   MM   MM    MM
2021 09 09 20 15 190  1.0  2.0    MM    MM    MM  MM     MM  21.5    MM  19.7   MM   MM    MM
2021 09 09 20 00  MM  0.0  1.0    MM    MM    MM  MM     MM  21.5    MM  19.8   MM   MM    MM
2021 09 09 19 45 260  1.0  2.0    MM    MM    MM  MM     MM  21.5    MM  19.8   MM   MM    MM
2021 09 09 19 00 250  2.0  3.0    MM    MM    MM  MM     MM  22.0    MM  19.4   MM   MM    MM
2021 09 09 18 15 230  2.0  3.0    MM    MM    MM  MM     MM  22.2    MM  19.5   MM   MM    MM
2021 09 09 17 45 210  3.0  4.0    MM    MM    MM  MM     MM  22.3    MM  19.1   MM   MM    MM
2021 09 09 17 00 260  3.0  3.0    MM    MM    MM  MM     MM  21.9    MM  19.4   MM   MM    MM
2021 09 09 16 45 280  2.0  3.0    MM    MM    MM  MM     MM  21.8    MM  19.5   MM   MM    MM
2021 09 09 16 15 270  2.0  2.0    MM    MM    MM  MM     MM  21.6    MM  19.8   MM   MM    MM
2021 09 09 15 30 270  3.0  3.0    MM    MM    MM  MM     MM  21.7    MM  20.2   MM   MM    MM
2021 09 09 15 15 270  3.0  4.0    MM    MM    MM  MM     MM  21.9    MM  20.1   MM   MM    MM
2021 09 09 14 45 200  1.0  4.0    MM    MM    MM  MM     MM  21.7    MM  20.3   MM   MM    MM
2021 09 09 14 00 300  2.0  3.0    MM    MM    MM  MM     MM  21.6    MM  20.2   MM   MM    MM
2021 09 09 13 45 280  3.0  4.0    MM    MM    MM  MM     MM  21.6    MM  20.1   MM   MM    MM
2021 09 09 13 00 270  1.0  2.0    MM    MM    MM  MM     MM  21.2    MM  19.8   MM   MM    MM
2021 09 09 12 45 220  2.0  3.0    MM    MM    MM  MM     MM  21.1    MM  19.8   MM   MM    MM
2021 09 09 12 15 160  2.0  3.0    MM    MM    MM  MM     MM  21.3    MM  19.9   MM   MM    MM
2021 09 09 11 30 280  2.0  3.0    MM    MM    MM  MM     MM  21.2    MM  20.0   MM   MM    MM
2021 09 09 11 15 280  2.0  3.0    MM    MM    MM  MM     MM  21.2    MM  19.9   MM   MM    MM
2021 09 09 10 45 270  3.0  4.0    MM    MM    MM  MM     MM  21.5    MM  19.8   MM   MM    MM
2021 09 09 10 00 310  3.0  4.0    MM    MM    MM  MM     MM  22.0    MM  19.4   MM   MM    MM
2021 09 09 09 45 310  2.0  3.0    MM    MM    MM  MM     MM  22.0    MM  19.2   MM   MM    MM
2021 09 09 09 15 290  1.0  2.0    MM    MM    MM  MM     MM  22.1    MM  19.3   MM   MM    MM
