Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
51183298,07/13/2021 12:00:09 AM,07/13/2021 01:34:56 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11358.0,36-20 168 STREET,168 STREET,CROCHERON AVENUE,DEPOT ROAD,CROCHERON AVENUE,DEPOT ROAD,,FLUSHING,168 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,07/13/2021 05:34:59 AM,07 QUEENS,4052947501.0,QUEENS,1040199.0,217167.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.76257265882861,-73.7980328755316,"(40.76257265882861, -73.7980328755316)"
51185546,07/13/2021 12:00:24 AM,07/13/2021 12:32:20 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10038.0,1 DUTCH STREET,DUTCH STREET,JOHN STREET,FULTON STREET,JOHN STREET,FULTON STREET,,NEW YORK,DUTCH STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/13/2021 04:32:22 AM,01 MANHATTAN,1000787508.0,MANHATTAN,982114.0,197662.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.70921302646043,-74.00770444620922,"(40.70921302646043, -74.00770444620922)"
51183673,07/13/2021 12:00:40 AM,07/13/2021 12:09:32 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10304.0,935 TARGEE STREET,TARGEE STREET,BALTIC AVENUE,RALPH PLACE,BALTIC AVENUE,RALPH PLACE,,STATEN ISLAND,TARGEE STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,07/13/2021 04:09:37 AM,02 STATEN ISLAND,5031690029.0,STATEN ISLAND,958984.0,159931.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.605613964168455,-74.09099181031843,"(40.605613964168455, -74.09099181031843)"
51180460,07/13/2021 12:00:47 AM,08/06/2021 02:46:30 PM,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,10034.0,577 ISHAM STREET,ISHAM STREET,BROADWAY,COOPER STREET,BROADWAY,COOPER STREET,,NEW YORK,ISHAM STREET,,Closed,,NYC Parks performed the work necessary to correct the condition.,08/06/2021 06:46:33 PM,12 MANHATTAN,1022430001.0,MANHATTAN,1006416.0,255631.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.86829475926151,-73.9198570597274,"(40.86829475926151, -73.9198570597274)"
51184554,07/13/2021 12:00:57 AM,07/13/2021 03:29:13 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11418.0,100-06 92 AVENUE,92 AVENUE,DEAD END,102 STREET,DEAD END,102 STREET,,RICHMOND HILL,92 AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,07/13/2021 07:29:22 AM,09 QUEENS,4093070003.0,QUEENS,1027359.0,191001.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.690825407418345,-73.844550771038,"(40.690825407418345, -73.844550771038)"
51181609,07/13/2021 12:01:15 AM,07/13/2021 12:33:55 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208.0,121 ESSEX STREET,ESSEX STREET,RIDGEWOOD AVENUE,ARLINGTON AVENUE,RIDGEWOOD AVENUE,ARLINGTON AVENUE,,BROOKLYN,ESSEX STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/13/2021 04:33:57 AM,05 BROOKLYN,3039280004.0,BROOKLYN,1016653.0,187657.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68169257301852,-73.88317218253697,"(40.681692573018516, -73.88317218253697)"
51186916,07/13/2021 12:01:16 AM,07/13/2021 12:45:41 AM,NYPD,New York City Police Department,Illegal Fireworks,,Park/Playground,11220.0,4 AVENUE,4 AVENUE,4 AVENUE,SHORE ROAD,4 AVENUE,SHORE ROAD,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/13/2021 04:45:47 AM,10 BROOKLYN,,BROOKLYN,974568.0,162016.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.611367591001866,-74.03487130935147,"(40.611367591001866, -74.03487130935147)"
51186246,07/13/2021 12:01:51 AM,07/13/2021 12:07:58 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11106.0,31-49 29 STREET,29 STREET,31 AVENUE,BROADWAY,31 AVENUE,BROADWAY,,ASTORIA,29 STREET,,Closed,,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,07/13/2021 04:08:01 AM,01 QUEENS,4005880018.0,QUEENS,1004749.0,217604.0,PHONE,Unspecified,QUEENS,,,,,,,,40.763925379024094,-73.92600037542756,"(40.763925379024094, -73.92600037542756)"
51188313,07/13/2021 12:02:06 AM,07/13/2021 12:48:41 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10310.0,145 REGAN AVENUE,REGAN AVENUE,DEKAY STREET,FOREST AVENUE,DEKAY STREET,FOREST AVENUE,,STATEN ISLAND,REGAN AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/13/2021 04:48:43 AM,01 STATEN ISLAND,5001560059.0,STATEN ISLAND,953982.0,169202.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.63104524055005,-74.10904732994221,"(40.63104524055005, -74.10904732994221)"
51189312,07/13/2021 12:02:12 AM,07/13/2021 12:19:31 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11233.0,2348 ATLANTIC AVENUE,ATLANTIC AVENUE,EASTERN PARKWAY,SHERLOCK PLACE,EASTERN PARKWAY,SHERLOCK PLACE,,BROOKLYN,ATLANTIC AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/13/2021 04:19:37 AM,16 BROOKLYN,3014360015.0,BROOKLYN,1009960.0,185626.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67613991159284,-73.90731127432797,"(40.67613991159284, -73.90731127432797)"
51190259,07/13/2021 12:02:12 AM,07/13/2021 12:33:34 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11208.0,274 LINWOOD STREET,LINWOOD STREET,FOLSOM PLACE,ATLANTIC AVENUE,FOLSOM PLACE,ATLANTIC AVENUE,,BROOKLYN,LINWOOD STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,07/13/2021 04:33:36 AM,05 BROOKLYN,3039550037.0,BROOKLYN,1016564.0,186689.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67903596037859,-73.8834977100985,"(40.67903596037859, -73.8834977100985)"
